codigo_cliente,tarjeta_beneficios,tipo_cliente,promedio_compras,tipo_alimentacion,tiempo_permanencia_min,"1,_app,_xmor34,_2025-01-06",codigo,nombre,apellido,comuna,rut,fecha_nacimiento,religion
127.0,no,3.0,477235.0,vegano,31.0,,,,,,,,
128.0,no,2.0,237065.0,vegano,48.0,,,,,,,,
129.0,si,1.0,471302.0,vegetariano,59.0,,,,,,,,
130.0,si,3.0,407734.0,vegetariano,55.0,,,,,,,,
131.0,no,2.0,278896.0,no aplica,42.0,,,,,,,,
132.0,si,2.0,189657.0,normal,48.0,,,,,,,,
133.0,si,1.0,148892.0,vegetariano,56.0,,,,,,,,
134.0,si,2.0,142411.0,no aplica,36.0,,,,,,,,
135.0,no,1.0,455324.0,normal,58.0,,,,,,,,
136.0,si,4.0,221885.0,vegetariano,52.0,,,,,,,,
137.0,si,4.0,942107.0,vegetariano,59.0,,,,,,,,
138.0,si,5.0,842962.0,vegano,11.0,,,,,,,,
139.0,si,3.0,3454.0,normal,23.0,,,,,,,,
140.0,no,3.0,658004.0,no aplica,15.0,,,,,,,,
141.0,si,1.0,301958.0,normal,22.0,,,,,,,,
142.0,no,4.0,733817.0,normal,60.0,,,,,,,,
143.0,no,1.0,715822.0,vegano,22.0,,,,,,,,
144.0,si,2.0,53439.0,no aplica,13.0,,,,,,,,
145.0,si,2.0,12970.0,vegetariano,25.0,,,,,,,,
146.0,si,2.0,187908.0,vegano,41.0,,,,,,,,
147.0,si,3.0,571041.0,vegano,12.0,,,,,,,,
148.0,si,1.0,495608.0,vegano,42.0,,,,,,,,
149.0,si,4.0,75288.0,no aplica,59.0,,,,,,,,
150.0,si,5.0,637450.0,vegetariano,19.0,,,,,,,,
151.0,si,4.0,655221.0,vegano,45.0,,,,,,,,
152.0,no,5.0,819985.0,vegano,22.0,,,,,,,,
153.0,si,4.0,346446.0,no aplica,16.0,,,,,,,,
154.0,si,1.0,187511.0,normal,13.0,,,,,,,,
155.0,si,5.0,599442.0,vegetariano,21.0,,,,,,,,
156.0,no,4.0,601559.0,normal,14.0,,,,,,,,
157.0,no,3.0,89069.0,vegetariano,10.0,,,,,,,,
158.0,no,2.0,699148.0,vegetariano,33.0,,,,,,,,
159.0,no,3.0,915714.0,normal,30.0,,,,,,,,
160.0,si,1.0,235959.0,vegetariano,19.0,,,,,,,,
161.0,no,3.0,980415.0,no aplica,35.0,,,,,,,,
162.0,si,4.0,884537.0,no aplica,60.0,,,,,,,,
163.0,no,4.0,903185.0,vegano,16.0,,,,,,,,
164.0,no,2.0,792922.0,no aplica,50.0,,,,,,,,
165.0,si,2.0,365714.0,normal,55.0,,,,,,,,
166.0,no,5.0,156109.0,vegetariano,55.0,,,,,,,,
167.0,no,2.0,704321.0,vegano,18.0,,,,,,,,
168.0,no,1.0,200756.0,vegetariano,39.0,,,,,,,,
169.0,si,4.0,662642.0,vegetariano,36.0,,,,,,,,
170.0,no,5.0,855101.0,vegano,28.0,,,,,,,,
171.0,no,1.0,495892.0,normal,12.0,,,,,,,,
172.0,no,1.0,336368.0,no aplica,16.0,,,,,,,,
173.0,si,5.0,705066.0,normal,26.0,,,,,,,,
174.0,si,3.0,951399.0,no aplica,49.0,,,,,,,,
175.0,no,1.0,550679.0,vegetariano,22.0,,,,,,,,
176.0,no,5.0,315276.0,no aplica,43.0,,,,,,,,
177.0,si,4.0,388854.0,vegetariano,46.0,,,,,,,,
178.0,no,2.0,78786.0,no aplica,53.0,,,,,,,,
179.0,no,2.0,634893.0,vegano,53.0,,,,,,,,
180.0,si,2.0,239839.0,vegetariano,56.0,,,,,,,,
181.0,si,2.0,818130.0,normal,23.0,,,,,,,,
182.0,si,5.0,151326.0,vegano,27.0,,,,,,,,
183.0,si,2.0,744544.0,vegetariano,13.0,,,,,,,,
184.0,no,1.0,844343.0,vegano,38.0,,,,,,,,
185.0,no,5.0,266495.0,normal,50.0,,,,,,,,
186.0,si,1.0,193989.0,vegano,36.0,,,,,,,,
187.0,si,3.0,92187.0,vegetariano,21.0,,,,,,,,
188.0,no,1.0,836969.0,vegano,28.0,,,,,,,,
189.0,si,4.0,357836.0,normal,42.0,,,,,,,,
190.0,si,4.0,220829.0,no aplica,38.0,,,,,,,,
191.0,si,4.0,430068.0,vegano,59.0,,,,,,,,
192.0,no,4.0,899428.0,no aplica,25.0,,,,,,,,
193.0,si,1.0,328059.0,normal,11.0,,,,,,,,
194.0,si,2.0,579079.0,no aplica,20.0,,,,,,,,
195.0,no,1.0,178237.0,vegano,55.0,,,,,,,,
196.0,si,5.0,852644.0,normal,51.0,,,,,,,,
197.0,no,5.0,59872.0,vegano,53.0,,,,,,,,
198.0,si,3.0,842498.0,vegano,47.0,,,,,,,,
199.0,si,4.0,510022.0,normal,41.0,,,,,,,,
200.0,no,4.0,120270.0,normal,13.0,,,,,,,,
201.0,si,4.0,684836.0,vegetariano,10.0,,,,,,,,
202.0,no,3.0,74733.0,no aplica,27.0,,,,,,,,
203.0,no,2.0,85723.0,no aplica,36.0,,,,,,,,
204.0,no,3.0,254195.0,vegano,18.0,,,,,,,,
205.0,si,1.0,701842.0,normal,52.0,,,,,,,,
206.0,no,3.0,842715.0,no aplica,29.0,,,,,,,,
207.0,si,1.0,395777.0,vegetariano,36.0,,,,,,,,
208.0,no,2.0,326919.0,vegano,56.0,,,,,,,,
209.0,si,2.0,611867.0,vegano,12.0,,,,,,,,
210.0,no,5.0,454108.0,vegano,54.0,,,,,,,,
211.0,no,5.0,716464.0,no aplica,38.0,,,,,,,,
212.0,si,5.0,349684.0,vegano,23.0,,,,,,,,
213.0,no,1.0,53579.0,normal,51.0,,,,,,,,
214.0,si,4.0,982710.0,normal,56.0,,,,,,,,
215.0,no,4.0,704399.0,vegano,11.0,,,,,,,,
216.0,no,3.0,161985.0,vegetariano,27.0,,,,,,,,
217.0,no,1.0,10299.0,vegetariano,21.0,,,,,,,,
218.0,no,5.0,903257.0,vegano,59.0,,,,,,,,
219.0,no,4.0,971881.0,vegetariano,38.0,,,,,,,,
220.0,si,1.0,879881.0,vegano,38.0,,,,,,,,
221.0,si,3.0,565994.0,normal,21.0,,,,,,,,
222.0,no,2.0,215487.0,no aplica,50.0,,,,,,,,
223.0,si,1.0,570343.0,normal,36.0,,,,,,,,
224.0,si,3.0,19885.0,normal,12.0,,,,,,,,
225.0,si,1.0,917821.0,vegetariano,30.0,,,,,,,,
226.0,no,5.0,191893.0,normal,17.0,,,,,,,,
227.0,no,1.0,704711.0,normal,19.0,,,,,,,,
228.0,no,1.0,371665.0,vegetariano,52.0,,,,,,,,
229.0,si,4.0,614948.0,vegano,48.0,,,,,,,,
230.0,no,5.0,242152.0,normal,54.0,,,,,,,,
231.0,no,5.0,294352.0,vegano,38.0,,,,,,,,
232.0,si,4.0,868439.0,vegano,19.0,,,,,,,,
233.0,no,2.0,34844.0,no aplica,39.0,,,,,,,,
234.0,no,5.0,779526.0,vegano,21.0,,,,,,,,
235.0,si,1.0,897522.0,vegetariano,47.0,,,,,,,,
236.0,si,4.0,307609.0,normal,48.0,,,,,,,,
237.0,si,4.0,764325.0,no aplica,27.0,,,,,,,,
238.0,si,4.0,247718.0,vegano,18.0,,,,,,,,
239.0,si,1.0,50308.0,vegano,35.0,,,,,,,,
240.0,no,2.0,232886.0,no aplica,53.0,,,,,,,,
241.0,no,3.0,49355.0,vegetariano,60.0,,,,,,,,
242.0,no,2.0,787034.0,no aplica,34.0,,,,,,,,
243.0,si,1.0,210866.0,vegetariano,31.0,,,,,,,,
244.0,si,5.0,222516.0,normal,19.0,,,,,,,,
245.0,no,3.0,409189.0,vegano,36.0,,,,,,,,
246.0,si,4.0,165121.0,no aplica,44.0,,,,,,,,
247.0,si,1.0,938177.0,vegano,41.0,,,,,,,,
248.0,no,2.0,221035.0,normal,45.0,,,,,,,,
249.0,si,1.0,522053.0,normal,45.0,,,,,,,,
250.0,no,4.0,260999.0,vegano,16.0,,,,,,,,
251.0,no,4.0,211082.0,normal,15.0,,,,,,,,
252.0,si,1.0,411474.0,vegetariano,56.0,,,,,,,,
253.0,si,4.0,160940.0,vegetariano,19.0,,,,,,,,
254.0,si,4.0,478374.0,normal,20.0,,,,,,,,
255.0,no,1.0,208236.0,no aplica,29.0,,,,,,,,
256.0,no,1.0,621966.0,vegano,47.0,,,,,,,,
257.0,no,3.0,2893.0,vegetariano,17.0,,,,,,,,
258.0,no,3.0,505267.0,normal,39.0,,,,,,,,
259.0,no,2.0,339260.0,normal,13.0,,,,,,,,
260.0,si,3.0,485252.0,no aplica,13.0,,,,,,,,
261.0,no,5.0,563476.0,no aplica,28.0,,,,,,,,
262.0,no,2.0,363196.0,normal,17.0,,,,,,,,
263.0,no,4.0,148120.0,normal,24.0,,,,,,,,
264.0,si,1.0,824264.0,no aplica,51.0,,,,,,,,
265.0,no,3.0,163400.0,vegetariano,23.0,,,,,,,,
266.0,si,3.0,380628.0,no aplica,37.0,,,,,,,,
267.0,no,2.0,951914.0,vegetariano,26.0,,,,,,,,
268.0,no,3.0,674881.0,vegano,31.0,,,,,,,,
269.0,si,3.0,105846.0,vegetariano,22.0,,,,,,,,
270.0,si,2.0,661295.0,vegano,54.0,,,,,,,,
271.0,si,1.0,500926.0,no aplica,20.0,,,,,,,,
272.0,si,2.0,129957.0,normal,51.0,,,,,,,,
273.0,si,1.0,423396.0,normal,29.0,,,,,,,,
274.0,no,1.0,632059.0,vegetariano,30.0,,,,,,,,
275.0,si,4.0,159130.0,vegetariano,41.0,,,,,,,,
276.0,no,3.0,377991.0,normal,56.0,,,,,,,,
277.0,si,5.0,303208.0,normal,45.0,,,,,,,,
278.0,no,5.0,197552.0,no aplica,27.0,,,,,,,,
279.0,si,4.0,784367.0,no aplica,20.0,,,,,,,,
280.0,si,3.0,479131.0,vegano,58.0,,,,,,,,
281.0,si,3.0,297387.0,vegetariano,14.0,,,,,,,,
282.0,si,3.0,899010.0,vegetariano,35.0,,,,,,,,
283.0,si,5.0,974885.0,vegano,26.0,,,,,,,,
284.0,si,1.0,126262.0,vegano,40.0,,,,,,,,
285.0,no,4.0,398130.0,vegetariano,44.0,,,,,,,,
286.0,si,5.0,877291.0,no aplica,40.0,,,,,,,,
287.0,no,5.0,801580.0,no aplica,36.0,,,,,,,,
288.0,no,4.0,737753.0,no aplica,36.0,,,,,,,,
289.0,si,5.0,315549.0,no aplica,24.0,,,,,,,,
290.0,si,1.0,992738.0,normal,12.0,,,,,,,,
291.0,si,3.0,48614.0,normal,39.0,,,,,,,,
292.0,si,3.0,251953.0,vegano,57.0,,,,,,,,
293.0,si,1.0,615829.0,vegano,52.0,,,,,,,,
294.0,no,1.0,87764.0,no aplica,46.0,,,,,,,,
295.0,si,3.0,775847.0,no aplica,18.0,,,,,,,,
296.0,no,5.0,353433.0,vegetariano,36.0,,,,,,,,
297.0,si,5.0,290081.0,vegetariano,18.0,,,,,,,,
298.0,no,4.0,820598.0,normal,54.0,,,,,,,,
299.0,si,1.0,740154.0,normal,57.0,,,,,,,,
300.0,no,5.0,271485.0,no aplica,48.0,,,,,,,,
301.0,si,1.0,503908.0,normal,47.0,,,,,,,,
302.0,si,5.0,174631.0,normal,56.0,,,,,,,,
303.0,no,2.0,185403.0,no aplica,60.0,,,,,,,,
304.0,no,3.0,48310.0,vegano,19.0,,,,,,,,
305.0,no,3.0,157589.0,normal,14.0,,,,,,,,
306.0,no,1.0,40644.0,normal,58.0,,,,,,,,
307.0,si,4.0,440916.0,normal,12.0,,,,,,,,
308.0,si,4.0,94587.0,vegetariano,37.0,,,,,,,,
309.0,no,4.0,752203.0,normal,24.0,,,,,,,,
310.0,si,4.0,516630.0,vegetariano,28.0,,,,,,,,
311.0,si,4.0,410464.0,vegetariano,44.0,,,,,,,,
312.0,si,4.0,564279.0,vegano,34.0,,,,,,,,
313.0,no,5.0,927750.0,no aplica,14.0,,,,,,,,
314.0,no,3.0,644443.0,vegano,13.0,,,,,,,,
315.0,si,2.0,817310.0,no aplica,30.0,,,,,,,,
316.0,si,2.0,463940.0,normal,34.0,,,,,,,,
317.0,si,3.0,291009.0,vegano,51.0,,,,,,,,
318.0,no,1.0,785818.0,normal,24.0,,,,,,,,
319.0,no,3.0,764285.0,vegano,29.0,,,,,,,,
320.0,si,2.0,245574.0,no aplica,17.0,,,,,,,,
321.0,no,1.0,187851.0,normal,45.0,,,,,,,,
322.0,no,3.0,52013.0,vegano,53.0,,,,,,,,
323.0,si,2.0,129788.0,no aplica,18.0,,,,,,,,
324.0,no,2.0,449077.0,no aplica,54.0,,,,,,,,
325.0,no,2.0,963057.0,vegetariano,58.0,,,,,,,,
326.0,si,3.0,471356.0,no aplica,46.0,,,,,,,,
327.0,si,3.0,271504.0,vegetariano,20.0,,,,,,,,
328.0,si,4.0,400522.0,normal,52.0,,,,,,,,
329.0,si,3.0,157264.0,vegano,25.0,,,,,,,,
330.0,si,2.0,899297.0,no aplica,10.0,,,,,,,,
331.0,no,5.0,338739.0,normal,34.0,,,,,,,,
332.0,si,2.0,336076.0,vegano,30.0,,,,,,,,
333.0,si,4.0,794426.0,normal,58.0,,,,,,,,
334.0,no,4.0,582787.0,normal,41.0,,,,,,,,
335.0,no,2.0,874798.0,vegetariano,21.0,,,,,,,,
336.0,si,5.0,512581.0,normal,47.0,,,,,,,,
337.0,no,1.0,906291.0,normal,23.0,,,,,,,,
338.0,si,2.0,401533.0,normal,30.0,,,,,,,,
339.0,si,3.0,300718.0,no aplica,49.0,,,,,,,,
340.0,si,3.0,934947.0,no aplica,18.0,,,,,,,,
341.0,no,2.0,97056.0,vegetariano,32.0,,,,,,,,
342.0,si,5.0,391333.0,normal,48.0,,,,,,,,
343.0,si,2.0,591733.0,normal,54.0,,,,,,,,
344.0,no,5.0,414040.0,vegetariano,31.0,,,,,,,,
345.0,no,5.0,755480.0,no aplica,45.0,,,,,,,,
346.0,no,1.0,763269.0,vegetariano,18.0,,,,,,,,
347.0,no,5.0,206957.0,normal,26.0,,,,,,,,
348.0,no,2.0,236297.0,vegetariano,18.0,,,,,,,,
349.0,no,1.0,247400.0,normal,35.0,,,,,,,,
350.0,no,3.0,972393.0,no aplica,15.0,,,,,,,,
351.0,no,2.0,187439.0,no aplica,50.0,,,,,,,,
352.0,si,4.0,292197.0,vegetariano,38.0,,,,,,,,
353.0,si,2.0,361319.0,no aplica,49.0,,,,,,,,
354.0,si,3.0,974788.0,no aplica,20.0,,,,,,,,
355.0,no,1.0,188085.0,vegano,60.0,,,,,,,,
356.0,si,4.0,983730.0,vegano,25.0,,,,,,,,
357.0,no,2.0,651241.0,vegano,16.0,,,,,,,,
358.0,no,4.0,915759.0,vegano,58.0,,,,,,,,
359.0,no,4.0,601822.0,normal,44.0,,,,,,,,
360.0,si,4.0,71219.0,vegano,46.0,,,,,,,,
361.0,no,4.0,127341.0,no aplica,48.0,,,,,,,,
362.0,si,5.0,6415.0,no aplica,16.0,,,,,,,,
363.0,no,4.0,846232.0,vegano,10.0,,,,,,,,
364.0,no,5.0,378207.0,no aplica,55.0,,,,,,,,
365.0,no,3.0,757148.0,vegetariano,16.0,,,,,,,,
366.0,no,1.0,880839.0,vegetariano,27.0,,,,,,,,
367.0,no,3.0,56008.0,normal,21.0,,,,,,,,
368.0,si,5.0,2516.0,no aplica,28.0,,,,,,,,
369.0,si,2.0,346607.0,no aplica,16.0,,,,,,,,
370.0,si,3.0,780223.0,vegetariano,17.0,,,,,,,,
371.0,no,5.0,823940.0,vegetariano,12.0,,,,,,,,
372.0,si,3.0,464871.0,vegano,51.0,,,,,,,,
373.0,si,4.0,971115.0,vegano,27.0,,,,,,,,
374.0,no,3.0,157558.0,no aplica,49.0,,,,,,,,
375.0,si,1.0,57178.0,no aplica,24.0,,,,,,,,
376.0,si,2.0,680512.0,vegano,22.0,,,,,,,,
377.0,si,1.0,886718.0,vegetariano,12.0,,,,,,,,
378.0,si,4.0,882481.0,no aplica,35.0,,,,,,,,
379.0,si,2.0,953216.0,vegano,43.0,,,,,,,,
380.0,si,4.0,902348.0,vegetariano,35.0,,,,,,,,
381.0,si,3.0,176956.0,normal,40.0,,,,,,,,
382.0,si,3.0,680933.0,vegano,36.0,,,,,,,,
383.0,no,4.0,388897.0,vegetariano,13.0,,,,,,,,
384.0,si,4.0,758105.0,normal,27.0,,,,,,,,
385.0,no,3.0,816743.0,normal,41.0,,,,,,,,
386.0,no,3.0,176002.0,vegetariano,37.0,,,,,,,,
387.0,no,5.0,665713.0,vegetariano,21.0,,,,,,,,
388.0,no,2.0,909637.0,normal,49.0,,,,,,,,
389.0,no,5.0,637840.0,no aplica,52.0,,,,,,,,
390.0,no,5.0,825034.0,vegetariano,48.0,,,,,,,,
391.0,si,3.0,17957.0,normal,56.0,,,,,,,,
392.0,no,4.0,280618.0,vegano,44.0,,,,,,,,
393.0,si,1.0,189990.0,vegetariano,47.0,,,,,,,,
394.0,si,2.0,578611.0,vegetariano,18.0,,,,,,,,
395.0,no,5.0,598172.0,normal,42.0,,,,,,,,
396.0,no,3.0,272633.0,normal,25.0,,,,,,,,
397.0,no,1.0,975883.0,vegano,55.0,,,,,,,,
398.0,si,5.0,365477.0,normal,21.0,,,,,,,,
399.0,si,2.0,10308.0,no aplica,27.0,,,,,,,,
400.0,si,3.0,842453.0,normal,18.0,,,,,,,,
401.0,si,2.0,175544.0,normal,55.0,,,,,,,,
402.0,no,3.0,295526.0,vegano,31.0,,,,,,,,
403.0,no,1.0,277916.0,vegano,46.0,,,,,,,,
404.0,si,4.0,888981.0,no aplica,21.0,,,,,,,,
405.0,si,4.0,22211.0,no aplica,19.0,,,,,,,,
406.0,si,1.0,384271.0,no aplica,22.0,,,,,,,,
407.0,no,4.0,162855.0,vegano,24.0,,,,,,,,
408.0,no,5.0,178546.0,normal,53.0,,,,,,,,
409.0,si,1.0,696582.0,no aplica,24.0,,,,,,,,
410.0,si,1.0,554420.0,no aplica,44.0,,,,,,,,
411.0,no,3.0,287317.0,no aplica,13.0,,,,,,,,
412.0,si,3.0,899702.0,normal,54.0,,,,,,,,
413.0,no,3.0,446843.0,vegano,59.0,,,,,,,,
414.0,si,2.0,217696.0,normal,18.0,,,,,,,,
415.0,si,1.0,906584.0,vegano,48.0,,,,,,,,
416.0,no,3.0,560417.0,no aplica,51.0,,,,,,,,
417.0,si,3.0,348260.0,normal,44.0,,,,,,,,
418.0,si,4.0,459283.0,vegetariano,21.0,,,,,,,,
419.0,si,5.0,622084.0,no aplica,29.0,,,,,,,,
420.0,si,2.0,433911.0,no aplica,33.0,,,,,,,,
421.0,no,4.0,805553.0,vegano,11.0,,,,,,,,
422.0,si,2.0,178935.0,normal,40.0,,,,,,,,
423.0,si,5.0,170498.0,vegano,13.0,,,,,,,,
424.0,no,4.0,861480.0,vegetariano,48.0,,,,,,,,
425.0,si,1.0,121717.0,vegetariano,48.0,,,,,,,,
426.0,si,3.0,718435.0,no aplica,13.0,,,,,,,,
427.0,si,3.0,272566.0,no aplica,43.0,,,,,,,,
428.0,no,4.0,982152.0,vegano,21.0,,,,,,,,
429.0,si,3.0,376077.0,vegetariano,24.0,,,,,,,,
430.0,si,1.0,657709.0,normal,52.0,,,,,,,,
431.0,no,2.0,106722.0,vegano,57.0,,,,,,,,
432.0,si,2.0,297478.0,vegetariano,21.0,,,,,,,,
433.0,si,3.0,161069.0,normal,40.0,,,,,,,,
434.0,si,5.0,550551.0,normal,55.0,,,,,,,,
435.0,no,4.0,455080.0,vegetariano,43.0,,,,,,,,
436.0,si,2.0,45893.0,vegano,59.0,,,,,,,,
437.0,no,1.0,182108.0,no aplica,37.0,,,,,,,,
438.0,si,1.0,293902.0,no aplica,51.0,,,,,,,,
439.0,si,5.0,339080.0,vegano,60.0,,,,,,,,
